n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
274223970.0,22414184.0,177276900.0,27.612589,58066.5,-95.30483,1745262800.0,321.82672,72501896.0,4231873.0,1141.2399,21881646.0,201722060.0,10.989185,9.811493,6.662533,414.57312,26.438934,50773004.0,145.08127,332173600.0,949.1692,52466604.0,149.92064,772306.6,2.206827,4456221.5,12.733425,-23373044.0,-66.78728,34996250.0,-27.659454,35169656.0,332860130.0,283189440.0,20.047846,198711660.0,198711660.0,27.266813,63181612.0,22131456.0,-1375508.4,49756188.0,49116880.0,12970969.0,248957.62,20.447325,21.09828,10.449921,35203420.0,-25.499578
347488540.0,19278834.0,3609056.5,1145.2214,6268619.5,77.60665,1146381.4,9.927573,525603780.0,44964784.0,-4.3465657,5417751.5,-178115250.0,22.730284,-2.9932942,-10.721212,10.321896,151.25787,39161460.0,1179.8378,58953852.0,1776.1335,6809223.5,205.14503,-30438626.0,-917.0404,30438626.0,917.0404,-5403610.0,-162.7974,3319224.0,453.94235,51672240.0,53030616.0,88737070.0,29.763718,26217064.0,26217064.0,19.242414,274773800.0,17144998.0,12817131.0,-38430440.0,55899890.0,5570783.0,1483436.4,30.227102,-63.066986,-55.68936,-44640130.0,-44.68666
687732160.0,6020642.5,194116660.0,148.36433,222794030.0,47.80245,176256720.0,9.308141,383042720.0,191660940.0,114.02358,117624150.0,304689470.0,76.932335,38.48045,18.069693,172.88103,55.696495,31417284.0,25.742685,486119680.0,398.31662,52723188.0,43.200314,-2626825.2,-2.1523674,2648219.2,2.169897,93253080.0,76.40968,122043540.0,381.4489,42597344.0,539685200.0,494316480.0,31.30261,419654400.0,419654400.0,35.55612,23694340.0,34865692.0,-1863757.8,45368730.0,48670750.0,5653937.0,3207851.5,33.730118,67.46313,49.881424,32433904.0,50.87511
4125506600.0,1583194000.0,425798100.0,-4.012052,616743000.0,50.92097,658567550.0,25.078798,1810421500.0,226472340.0,7.512071,74011384.0,2315085000.0,3.2421644,12.318084,26.543339,165.54094,43.883617,36094056.0,161.86087,1094812900.0,4909.5996,190243890.0,853.1333,-183111250.0,-821.1476,103848510.0,465.70026,125733600.0,563.8421,-22299432.0,61.31641,120673440.0,1653291600.0,1527186700.0,12.715291,1168941600.0,1168941600.0,11.086512,170276540.0,94499210.0,68281740.0,126887096.0,137902610.0,17229168.0,7120200.0,8.17415,-26.846237,-28.200367,112860760.0,-25.171244
5220108300.0,67596856.0,830546000.0,337.32834,4276247.0,-55.710182,3820562000.0,59.608444,3636143000.0,384315900.0,46.17925,1309097200.0,1583965000.0,238.1349,93.89167,63.50748,186.15666,69.65647,-53495190.0,-6.8528023,1091259300.0,139.7917,48423300.0,6.2030864,-20531500.0,-2.6301112,5357920.5,0.6863564,854659100.0,109.48291,780632400.0,1650.816,83877300.0,667877100.0,623646400.0,26.163918,435264030.0,435264030.0,27.648638,57169530.0,47012080.0,4083604.0,44488784.0,61157264.0,-16357984.0,79899864.0,12.104392,-56.146713,12.510519,35651360.0,-52.00829
1509796200.0,37894236.0,271746050.0,-5.828555,173383310.0,124.76344,405340860.0,94.874,795998460.0,227629280.0,371.59384,64619484.0,713797760.0,11.706819,47.707115,107.74394,168.30145,52.722244,-276816860.0,-1645.8401,2083274900.0,12386.302,55127896.0,327.76797,9323317.0,55.432636,10329153.0,61.412926,245656850.0,1460.5753,-16819184.0,32.54907,10020381.0,1899056600.0,1888226800.0,26.871487,1732268500.0,1732268500.0,34.689102,89252056.0,56324760.0,5289579.5,18646134.0,20953400.0,8236450.0,5091936.5,29.5975,208.51909,143.7095,2302170.2,105.05427
2286767600.0,1337414300.0,23511892.0,-16.212633,66003110.0,-24.92279,266062960.0,23.277004,3835837400.0,240146380.0,-19.039095,178004350.0,-1549069800.0,0.5007315,-0.18048854,-0.31006372,18.247091,167.74059,61799324.0,1358.3794,1868527500.0,41071.152,97547810.0,2144.1487,-45159060.0,-992.6183,71733310.0,1576.7333,-21010444.0,-461.81982,-4549489.0,99.11858,21022262.0,1652938000.0,1714590600.0,-40.733574,1480640300.0,1480640300.0,10.214033,58489210.0,93784910.0,53217296.0,-55652036.0,8728866.0,933149.8,5883929.5,9.976421,96.14987,101.26485,-45674692.0,96.780685
2051560100.0,259629870.0,580769600.0,11.888313,208221810.0,29.834414,621555500.0,19.414417,939181800.0,161041260.0,6.2922254,50772132.0,1112378200.0,13.827771,19.059843,25.914804,168.94319,45.77891,2692893.8,4.3639507,3116620800.0,5050.6187,120614530.0,195.46106,-47103024.0,-76.33248,53449308.0,86.61691,106117830.0,171.96854,61707704.0,42.15457,36970372.0,2800121300.0,2790385200.0,17.611519,2530407000.0,2530407000.0,17.84658,142039260.0,95581590.0,18419412.0,42481348.0,66233876.0,9215997.0,3937998.5,15.566154,-32.38383,-24.690527,36772750.0,-19.927416
1642777700.0,430045800.0,324216700.0,-40.252453,243837070.0,1.2937753,234073470.0,-7.2033515,634366200.0,190839300.0,23.0172,46863264.0,1008411500.0,0.76332384,-11.025385,-24.977852,210.66171,38.615463,113730776.0,52.06794,987363500.0,452.0323,74711976.0,34.20445,-104123020.0,-47.669342,36838304.0,16.865221,-228035410.0,-104.3986,-218427650.0,-271.50122,10496755.0,963788400.0,952298000.0,5.9263005,844146000.0,844146000.0,6.409861,31135080.0,59450564.0,16348291.0,17490020.0,16699339.0,7877647.5,1218019.0,5.552214,121.53727,1521.8042,9773984.0,-13.008219
834126200.0,57011532.0,431078050.0,1092.0889,132600250.0,1086.1812,112266630.0,13.528886,325547140.0,137986100.0,14.909878,69856.46,508579100.0,341.78677,125.05282,27.407192,220.70422,39.028522,60959440.0,15.436034,861495400.0,218.14624,38025784.0,9.628818,-31265332.0,-7.9169483,31266232.0,7.9171762,365222370.0,92.48091,394916480.0,1005.3345,28924076.0,567742460.0,539741440.0,30.159225,466881760.0,466881760.0,28.774832,32994240.0,31542914.0,6523975.0,28130270.0,33066230.0,3854719.8,1798582.1,30.171097,26.462244,67.675964,25639738.0,5462.9116
